net,x,y,z
"(9, 24)",8;8;8;8;7;6;5;5;5;5;4;4;4;4;4;4;4;4;3;2;1,8;9;9;9;9;9;9;8;7;6;6;6;5;4;3;2;2;1;1;1;1,0;0;1;2;2;2;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0
"(19, 14)",11;12;13;13,4;4;4;5,0;0;0;0
"(14, 12)",13;12;11;11;11,5;5;5;6;7,0;0;0;0;0
"(12, 8)",11;12;12;12,7;7;8;9,0;0;0;0
"(15, 8)",16;16;15;15;15;15;15;15;15;14;13;12;12,5;5;5;6;6;7;8;9;9;9;9;9;9,0;1;1;1;2;2;2;2;1;1;1;1;0
"(15, 7)",16;17;17;17;17;17;17;17;16;15;14;14,5;5;6;7;7;8;9;9;9;9;9;10,0;0;0;0;1;1;1;0;0;0;0;0
"(15, 2)",16;15;15;14;14;14;14;13;12;11;10;10;10;10;9;8;7;6;6;6;6;6;6;6;6,5;5;5;5;5;4;4;4;4;4;4;5;6;7;7;7;7;7;8;9;10;11;11;11;11,0;0;1;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;0
"(25, 13)",12;12;12;12;12;12;12;13;13;13;13;13;14;15;16;16;16,1;2;3;3;4;5;6;6;6;7;8;8;8;8;8;8;7,0;0;0;1;1;1;1;1;2;2;2;1;1;1;1;0;0
"(12, 16)",11;11;10;10;10;10;10;9;9;8;7;6;5;4;3;3;3;3;3;3;2;2;2,7;8;8;8;7;6;6;6;6;6;6;6;6;6;6;5;4;4;4;3;3;3;4,0;0;0;1;1;1;2;2;3;3;3;3;3;3;3;3;3;2;1;1;1;0;0
"(3, 6)",10;11;12;12,11;11;11;10,0;0;0;0
"(12, 13)",11;11;12;13;14;15;16;16,7;7;7;7;7;7;7;7,0;1;1;1;1;1;1;0
"(1, 16)",1;1;1;1;1;2;2;2;2;2;2;2;2,11;11;10;9;8;8;8;7;6;5;4;4;4,0;1;1;1;1;1;2;2;2;2;2;1;0
"(15, 6)",16;16;16;16;16;15;15;15;14;13;13;13;13;12;12;12;12;12,5;4;4;4;5;5;5;6;6;6;7;8;9;9;10;10;10;10,0;0;1;2;2;2;3;3;3;3;3;3;3;3;3;2;1;0
"(16, 5)",2;2;2;2;2;2;2;3;3;3,4;5;6;7;8;9;9;9;10;10,0;0;0;0;0;0;1;1;1;0
"(20, 10)",15;15;15;15;15;14;14;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1;1;0;0;0;0;1,4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7,0;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;1;0;0
"(4, 1)",15;14;14;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1;1,11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11,0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"(16, 14)",2;1;1;1;1;1;2;2;3;4;5;6;7;8;9;10;11;12;13;13;13;13;13,4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,0;0;1;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;0
