net,x,y,z
"(13, 21)",16;16;16;16;16;16;16;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1;0;0;0;1,7;6;6;6;6;5;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,0;0;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;0;0
"(24, 21)",1;1;1,1;2;3,0;0;0
"(7, 10)",14;15;15;15;15;14;14;14;14;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1;1;1;1,10;10;10;10;10;10;9;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,0;0;1;2;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;0
"(16, 11)",2;3;4;4;4;4,4;4;4;5;6;7,0;0;0;0;0;0
"(13, 14)",16;15;14;13;13;13,7;7;7;7;6;5,0;0;0;0;0;0
"(9, 19)",8;9;9;9;9;9;10;11;11;11,8;8;7;6;5;5;5;5;4;4,0;0;0;0;0;1;1;1;1;0
"(2, 23)",6;7;7;7;7;7;7;7;7;7;7;7;7;7;8;9;9,11;11;10;10;9;8;7;6;5;4;4;3;2;1;1;1;2,0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"(11, 21)",4;4;3;2;2;1;1;1;1;1,7;7;7;7;6;6;5;4;3;3,0;1;1;1;1;1;1;1;1;0
"(5, 4)",3;4;5;5;5;6;7;8;9;10;11;12;13;14;15;15,10;10;10;11;12;12;12;12;12;12;12;12;12;12;12;11,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(11, 6)",4;4;5;6;7;7;8;8;8;9;10;11;11;12;13;13;13;12,7;8;8;8;8;9;9;10;10;10;10;10;11;11;11;10;10;10,0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0
"(18, 12)",9;10;10;10;10;11,4;4;5;6;7;7,0;0;0;0;0;0
"(2, 22)",6;6;6;6;6;6;6;6;6;5;4;4;4;3;3;3;3;2,11;10;9;9;8;7;6;5;5;5;5;4;3;3;2;2;2;2,0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;1;0;0
"(23, 9)",9;8;8;8;8;8;8;8,2;2;3;4;5;6;7;8,0;0;0;0;0;0;0;0
"(23, 11)",9;9;9;8;7;6;5;5;5;5;5;5;4,2;3;3;3;3;3;3;4;5;6;7;7;7,0;0;1;1;1;1;1;1;1;1;1;0;0
"(20, 9)",15;14;14;13;13;12;12;11;10;9;8;8;8;8;8;8,4;4;4;4;4;4;5;5;5;5;5;6;7;8;8;8,0;0;1;1;2;2;2;2;2;2;2;2;2;2;1;0
"(14, 20)",13;14;14;15,5;5;4;4,0;0;0;0
"(11, 5)",4;3;3;3;3,7;7;8;9;10,0;0;0;0;0
"(10, 24)",1;1;0;-1;-1;-1;-1;-1;-1;-1;0;0;1,7;6;6;6;6;5;4;4;3;2;2;1;1,0;0;0;0;1;1;1;0;0;0;0;0;0
"(23, 19)",9;10;11;11;11,2;2;2;3;4,0;0;0;0;0
"(17, 22)",6;5;5;4;3;3;2,4;4;3;3;3;2;2,0;0;0;0;0;0;0
"(5, 1)",3;2;1;1,10;10;10;11,0;0;0;0
"(19, 22)",11;10;10;10;10;10;9;8;7;6;5;4;3;2;2;2,4;4;3;3;2;1;1;1;1;1;1;1;1;1;2;2,0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"(6, 18)",12;11;10;9;9;9;9;9;9;8;8;8;9;9,10;10;10;10;9;9;8;7;6;6;5;4;4;4,0;0;0;0;0;1;1;1;1;1;1;1;1;0
