netlist,x,y,z
"(31, 8)",15;15;16;16;16;15;14;14;14;14;14;14;13;12;12;11;10;10;9;8;8;8;7;6;5;5;4;3;2;1;1;1;0;0;0;0;0;1,8;8;8;8;8;8;8;8;9;10;11;12;12;12;11;11;11;10;10;10;10;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;13;13,0;1;1;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;4;3;3;3;2;1;0;0;0
"(4, 11)",15;15;15,15;14;13,0;0;0
"(17, 9)",11;11;11;11;11;10;9;9;8;7;7;6,11;11;12;13;13;13;13;13;13;13;13;13,0;1;1;1;2;2;2;1;1;1;0;0
"(47, 1)",8;8;8;8;8;8;7;7;7;7;7;6;5;5;4;3;3;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;1,1;0;0;0;1;2;2;2;3;3;3;3;3;4;4;4;5;5;6;7;8;9;10;11;12;12;13;13;13;13;13;13;14;14;15;15,0;0;1;2;2;2;2;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;2;1;1;0;0;0
"(27, 42)",6;6;5;5;4;4;4;4;5;5;6;6;6;6;7;8;9;9;9;10;11;12;13;13;13;13;13,8;8;8;9;9;9;9;9;9;8;8;7;6;5;5;5;5;4;3;3;3;3;3;3;3;3;3,0;1;1;1;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;0
"(35, 3)",12;12;13;13;13;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;10,5;5;5;5;5;5;5;6;7;8;9;10;10;11;12;12;13;14;15;15;15;15;15,0;1;1;2;3;4;4;4;4;4;4;4;3;3;3;2;2;2;2;1;0;0;0
"(2, 14)",6;7;7;7;6;5;5;5;5;4;3;3;2;1,15;15;14;14;14;14;13;13;12;12;12;11;11;11,0;0;0;1;1;1;1;0;0;0;0;0;0;0
"(26, 7)",16;15;14;14;14;14;14;14;14;14,9;9;9;9;10;11;12;13;14;14,0;0;0;1;1;1;1;1;1;0
"(50, 29)",16;16;15;15;15;14;13;13;12;11;10;10;10;10;10;10;10;10;10;9;9;9;9,1;2;2;2;2;2;2;2;2;2;2;3;4;5;5;6;7;8;8;8;8;8;8,0;0;0;1;2;2;2;3;3;3;3;3;3;3;4;4;4;4;3;3;2;1;0
"(28, 48)",7;8;8;8;8;9;10;11;12;12;12;12;12;12;12;12;12;12;12;11,8;8;8;8;9;9;9;9;9;8;7;6;5;4;3;2;1;1;1;1,0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0
"(4, 15)",15;14;14;13;12;11;11;11;11;10;9;8;8;8;8;7;7;6;6;5;4;4;4;4;3;3;3;4,15;15;16;16;16;16;16;15;15;15;15;15;14;14;14;14;13;13;13;13;13;12;11;11;11;11;11;11,0;0;0;0;0;0;1;1;2;2;2;2;2;3;4;4;4;4;3;3;3;3;3;2;2;1;0;0
"(41, 48)",9;9;9;10;11,3;2;1;1;1,0;0;0;0;0
"(15, 44)",4;4;4;4;4;4;4;4;5;5;5;5;6;6,11;10;9;8;8;7;6;5;5;4;3;2;2;2,0;0;0;0;1;1;1;1;1;1;1;1;1;0
"(15, 47)",4;4;4;3;3;2;2;2;2;2;3;3;3;4;4;4;5;6;6;7;7;7;8,11;11;10;10;9;9;8;7;6;5;5;4;3;3;3;2;2;2;1;1;1;1;1,0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;0;0
"(28, 39)",7;7;7;7;8;8;9;10,8;7;6;5;5;4;4;4,0;0;0;0;0;0;0;0
"(15, 35)",4;4;4;5;5;5;5;6;6;7;8;9;9;9;9;9;9;10;11;12;13;14;14;14;14;14;14;14;14;13;12,11;12;12;12;11;11;11;11;11;11;11;11;11;10;9;8;7;7;7;7;7;7;7;7;6;6;5;5;5;5;5,0;0;1;1;1;2;3;3;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;3;3;2;2;1;0;0;0
"(27, 40)",6;5;4;3;3;3;3;4;4;4;5;6;6;6;6;7;8;9;9;10;10;11;12;13;13;13;14;14;15;15,8;8;8;8;8;8;8;8;8;8;8;8;7;6;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4,0;0;0;0;1;2;3;3;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;2;2;1;1;0
"(48, 45)",11;11;10;9;8;7;6;5;5;4;3;2;1,1;0;0;0;0;0;0;0;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0
"(47, 30)",8;8;9;9;9;9;9;9;9;9;9;9;9;10;11;11;11,1;1;1;2;2;2;3;4;5;5;6;7;8;8;8;8;8,0;1;1;1;2;3;3;3;3;2;2;2;2;2;2;1;0
"(13, 10)",8;8;9;10;11;12,12;13;13;13;13;13,0;0;0;0;0;0
"(50, 13)",16;16;16;16;16;16;16;16;16;16;16;16;15;14;14;14;13;13;12;12;12;12;11;10;10;10;10;10;10;10;9;9;8;7;7;8,1;1;2;3;3;3;3;4;4;4;5;6;6;6;7;8;8;9;9;10;11;12;12;12;13;13;13;13;12;12;12;12;12;12;12;12,0;1;1;1;2;3;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;3;3;2;2;1;1;1;0;0
"(39, 8)",10;10;9;8;8;8;7;6;6;6;6;6;6;5;5;5;4;3;3;3;3;3;3;3;3;3;2;1;1;1;1;1;1,4;5;5;5;6;6;6;6;5;4;4;4;5;5;6;7;7;7;7;8;9;9;10;11;12;13;13;13;13;14;14;14;13,0;0;0;0;0;1;1;1;1;1;2;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;2;2;1;0;0
"(31, 33)",15;14;14;13;13;13;12;11;11;10;9;8;7;6;6;6;6;6;6,8;8;8;8;8;8;8;8;7;7;7;7;7;7;6;6;6;6;7,0;0;1;1;2;3;3;3;3;3;3;3;3;3;3;2;1;0;0
"(31, 41)",15;15;14;13;13;13;13;12;12;12;12;12;11;11;10;10;9;9,8;7;7;7;7;7;7;7;6;5;4;3;3;3;3;3;3;3,0;0;0;0;1;2;3;3;3;3;3;3;3;2;2;1;1;0
"(14, 46)",1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;4;5;6;6;6;6;6;6;6,11;10;9;9;9;9;9;8;7;6;5;4;3;2;2;2;2;2;1;0;0;0;0;1,0;0;0;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;0;0
"(6, 42)",12;12;11;11;11;11;12;13;13;13;13;13;13;13;13;13;14;14;15;15;15;15;15;15;15;14;13,14;14;14;14;14;13;13;13;12;11;10;10;9;8;7;6;6;5;5;5;4;4;3;3;3;3;3,0;1;1;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;3;2;2;1;0;0;0
"(30, 38)",11;11;11;11;11;11;11;10;9;8;7;7;7,8;7;7;7;6;5;4;4;4;4;4;4;4,0;0;1;2;2;2;2;2;2;2;2;1;0
"(46, 39)",6;7;7;8;8;8;8;9;10;10,1;1;2;2;2;3;4;4;4;4,0;0;0;0;1;1;1;1;1;0
"(45, 35)",1;1;1;1;1;1;2;3;4;5;6;7;8;9;10;11;12;12;12;12;12;13;14;14;15;15;15;15;15;15;16;16;16;15;14;13;12;12,1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;5;5;5;6;6;6;6;6;5;5;5;5;6;6;6;6;6;5,0;1;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;4;3;2;2;1;1;0;0;0;0;0;0;0
"(45, 29)",1;1;1;1;1;2;2;3;3;3;4;5;6;6;6;6;6;6;6;6;7;7;8;8;9;9;9;9;9;9,1;0;0;0;1;1;2;2;3;3;3;3;3;3;4;4;4;5;6;7;7;7;7;7;7;7;7;7;7;8,0;0;1;2;2;2;2;2;2;3;3;3;3;4;4;5;6;6;6;6;6;5;5;4;4;3;2;1;0;0
"(23, 45)",15;15;16;16;16;16;16;16;16;16;16;16;15;15;14;13;13;13;13;13;12;11;10;10;9;8;7;6;5;4;4;4;3;2;1;0;0;0;0;1,10;10;10;10;10;10;9;8;8;7;6;5;5;4;4;4;3;2;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0;1;1;2;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;3;3;3;2;1;0;0
"(44, 32)",6;5;5;4;3;3;3;3;2;1;1,2;2;3;3;3;4;5;6;6;6;7,0;0;0;0;0;0;0;0;0;0;0
"(49, 35)",13;13;12;12;12;12,1;2;2;3;4;5,0;0;0;0;0;0
"(7, 34)",14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;13;12;11;10;9;9,14;15;15;15;14;14;13;12;11;10;10;9;8;7;7;6;6;6;6;6;6;6,0;0;1;2;2;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;0
"(34, 8)",9;9;9;9;9;9;8;7;6;5;5;5;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,6;5;5;5;4;3;3;3;3;3;4;4;4;4;4;4;5;6;7;8;9;10;10;11;12;12;13;13;13;13,0;0;1;2;2;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;3;3;3;2;2;1;1;0
"(2, 38)",6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;7;7;7,15;16;16;16;16;16;15;14;13;12;11;10;10;10;9;8;8;7;6;6;5;5;5;5;5;5;4,0;0;0;1;2;3;3;3;3;3;3;3;4;5;5;5;4;4;4;3;3;3;2;1;1;0;0
"(6, 18)",12;13;13;13;13;13;13;14;15;16,14;14;14;13;12;11;11;11;11;11,0;0;1;1;1;1;0;0;0;0
"(38, 3)",7;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;10;10,4;4;4;4;4;4;4;4;5;6;7;8;9;10;10;11;12;13;13;13;13;14;14;14;15;15;15,0;0;1;2;3;4;5;6;6;6;6;6;6;6;6;6;6;6;5;4;3;3;2;1;1;1;0
"(40, 39)",15;14;13;13;12;11;11;10,4;4;4;4;4;4;4;4,0;0;0;1;1;1;0;0
"(28, 37)",7;7;7;7;7;6;6;5;5;4,8;8;7;6;5;5;5;5;4;4,0;1;1;1;1;1;0;0;0;0
"(19, 43)",2;2;2;1;0;0;0;0;0;0;0;1;2;3;4,10;9;8;8;8;7;6;5;4;3;2;2;2;2;2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(18, 36)",16;16;16;16;16;15;15;15;14;13;13;13;12;11;10;9;9;8;8;7;7;6;5;4;3;2;2;2;1;1;1;1;1;1;1;1;1;2,11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;9;9;8;8;8;8;8;8;8;8;7;6;6;6;6;6;6;6;5;5;4;4,0;1;2;3;4;4;5;5;5;5;6;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;5;4;3;2;1;1;0;0;0
"(13, 6)",8;9;10;10;10;10;10;11;12,12;12;12;12;13;14;14;14;14,0;0;0;1;1;1;0;0;0
"(38, 41)",7;7;8;9,4;3;3;3,0;0;0;0
"(6, 40)",12;12;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;16;15,14;15;15;15;15;15;15;15;14;13;12;11;10;10;9;8;7;7;6;5;5;4;4;4;4;4,0;0;0;1;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;3;3;2;1;0;0
"(38, 44)",7;6;6;6,4;4;3;2,0;0;0;0
"(9, 5)",6;6;5;4;3,13;14;14;14;14,0;0;0;0;0
"(40, 4)",15;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;16;15,4;5;6;6;7;7;8;9;10;11;12;12;13;13;13;14;15;15,0;0;0;1;1;2;2;2;2;2;2;2;2;1;0;0;0;0
"(34, 32)",9;9;8;8;8;7;6;5;5;5;4;3;2;1,6;7;7;7;7;7;7;7;7;7;7;7;7;7,0;0;0;1;2;2;2;2;1;0;0;0;0;0
"(22, 34)",12;12;12;12;12;12;12;11;10;9,10;9;9;8;7;7;6;6;6;6,0;0;1;1;1;0;0;0;0;0
"(1, 40)",1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;2;2;3;3;3;3;4;4;5;6;7;8;9;10;11;11;12;12;12;12;13;14;15;15;15;15;15,15;16;16;16;15;15;15;14;14;13;12;11;10;9;9;8;7;6;5;4;4;4;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;4,0;0;1;2;2;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;3;3;2;1;0;0;0;0;0;0;0;0
