netlist,x,y,z
"(17, 11)",11;11;12;13;13;14;15,11;12;12;12;13;13;13,0;0;0;0;0;0;0
"(26, 18)",16;16;16,9;10;11,0;0;0
"(2, 12)",6;5;4;3;2;2;2;2,15;15;15;15;15;14;13;12,0;0;0;0;0;0;0;0
"(33, 3)",6;6;6;6;6;7;7;7;7;7;7;7;7;8;8;9;10,7;7;7;8;9;9;10;11;12;13;14;15;15;15;15;15;15,0;1;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0
"(2, 21)",6;6;6;6;6;6;6;6;7;8;8;9;10;10,15;15;15;14;13;12;12;11;11;11;10;10;10;10,0;1;2;2;2;2;1;1;1;1;1;1;1;0
"(13, 37)",8;8;8;8;8;8;8;8;7;6;5;5;4;4;4;4;4;4;4,12;12;12;11;10;10;9;8;8;8;8;8;8;7;6;5;4;4;4,0;1;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;1;0
"(35, 20)",12;11;10;10;10;10;10;10;9;8;8;8;7,5;5;5;5;6;7;8;9;9;9;9;10;10,0;0;0;1;1;1;1;1;1;1;0;0;0
"(12, 11)",2;2;3;3;4;5;5;5;6;7;8;8;9;10;10;11;11;12;13;14;15;16;16;16;16;16;16;15;15,12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;12;12;12;12;12;13,0;1;1;2;2;2;3;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;3;3;2;1;0;0;0
"(12, 46)",2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;4;5;6;6,12;12;12;12;11;11;10;9;8;7;6;5;4;3;3;2;1;1;1;1;1;1,0;0;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;0
"(22, 43)",12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;9;8;7;6;5;5;5;4;4;4;4,10;10;10;10;10;10;10;9;8;8;7;6;5;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2,0;1;1;2;3;4;5;5;5;4;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;3;2;2;1;1;0
"(37, 21)",4;4;4;5;5;5;5;6;7;7;8;8;9;10;10;10;10;10;10;10;10,4;5;6;6;6;6;5;5;5;6;6;6;6;6;6;7;7;7;8;9;10,0;0;0;0;1;2;2;2;2;2;2;3;3;3;2;2;1;0;0;0;0
"(16, 23)",10;10;10;10;11;12;13;13;13;14;15,11;11;11;10;10;10;10;10;10;10;10,0;1;2;2;2;2;2;1;0;0;0
"(4, 22)",15;15;15;15;15;14;14;14;13;12;12;12;12,15;15;14;14;13;13;12;11;11;11;11;11;10,0;1;1;2;2;2;2;2;2;2;1;0;0
"(49, 3)",13;13;13;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;10;10;10;10;10;10,1;1;1;1;1;1;1;1;2;3;4;5;6;7;8;8;9;10;11;12;13;14;14;14;15;15;15;16;16;16;16;15,0;1;2;3;3;4;5;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;4;3;3;3;3;3;2;1;0;0
"(33, 26)",6;5;5;5;5;5;5;6;7;7;8;9;9;10;11;12;13;14;15;16;16;16;16,7;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,0;0;0;0;1;2;3;3;3;4;4;4;3;3;3;3;3;3;3;3;2;1;0
"(39, 50)",10;10;11;11;12;12;13;14;14;14;15;16,4;3;3;3;3;2;2;2;2;1;1;1,0;0;0;1;1;1;1;1;0;0;0;0
"(25, 30)",13;13;12;11,9;8;8;8,0;0;0;0
"(15, 17)",4;5;6;7;8;9;9;9;10;11;11;11,11;11;11;11;11;11;10;9;9;9;10;11,0;0;0;0;0;0;0;0;0;0;0;0
"(1, 4)",1;1;2;3;4;5;5;5;6;6;7;8;9;10;11;12;13;14;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;15,0;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;4;4;4;3;2;1;0;0
