netlist,x,y,z
"(1, 2)",1;2;3;4;5;6,5;5;5;5;5;5,0;0;0;0;0;0
"(1, 3)",1;1;2;3;4,5;4;4;4;4,0;0;0;0;0
"(3, 5)",4;4;3;3;3,4;3;3;2;1,0;0;0;0;0
"(4, 2)",6;6;6;6,2;3;4;5,0;0;0;0
"(4, 5)",6;5;5;4;3,2;2;1;1;1,0;0;0;0;0
