net,x,y,z
"(43, 4)",4;4;4;5;5;5;6;7;7;8;8;8;9;10;10;10;10;10;11;11;11;11;11;12;13;14;15;15;15;15;16;16;16;16;16;16;16;16;15,2;2;2;2;2;3;3;3;3;3;4;5;5;5;6;7;7;7;7;8;9;10;11;11;11;11;11;12;13;14;14;14;14;14;14;14;15;15;15,0;1;2;2;3;3;3;3;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;3;2;1;1;0;0
"(4, 49)",15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;14;14;14;14;14;13;13;13,15;14;14;14;14;14;14;13;12;11;10;9;8;7;7;6;5;5;5;4;3;3;2;1;1;1;1,0;0;1;2;3;4;5;5;5;5;5;5;5;5;4;4;4;3;3;3;3;2;2;2;2;1;0
"(15, 7)",4;4;4;4;5;5;6;7;8;9;9;10;10;11;12;12;12;13;13;13;14;14,11;10;10;10;10;11;11;11;11;11;12;12;12;12;12;12;12;12;13;14;14;14,0;0;1;2;2;2;2;2;2;2;2;2;3;3;3;2;1;1;1;1;1;0
"(37, 3)",4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;7;7;8;9;9;10,4;4;4;5;6;6;7;8;9;9;9;10;11;12;12;12;12;12;13;14;14;14;14;15;15;15;15;15,0;1;2;2;2;3;3;3;3;4;5;5;5;5;4;3;2;1;1;1;1;1;1;1;1;1;0;0
"(15, 5)",4;4;4;4;3,11;12;13;14;14,0;0;0;0;0
"(11, 33)",15;14;14;14;13;13;13;13;12;11;10;10;10;10;10;10;10;9;9;8;8;7;6;6;6;6;6;6,13;13;13;13;13;13;13;13;13;13;13;13;12;11;10;9;8;8;7;7;7;7;7;7;7;7;7;7,0;0;1;2;2;3;4;5;5;5;5;6;6;6;6;6;6;6;6;6;5;5;5;4;3;2;1;0
"(48, 23)",11;11;11;11;11;11;11;11;11;12;12;12;13;14;14;14;14;14;14;14;14;15,1;1;1;2;3;4;5;6;6;6;6;7;7;7;8;9;10;10;10;10;10;10,0;1;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;3;2;1;0;0
"(42, 2)",13;13;13;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;9;9;9;9;8;7;6;6;6,3;4;4;4;4;4;4;5;5;6;7;7;8;9;10;11;12;12;13;14;15;15;15;15;15;15;15;15;15;15;15;15,0;0;1;1;2;3;3;3;4;4;4;5;5;5;5;5;5;6;6;6;6;5;5;5;4;3;2;2;2;2;1;0
"(22, 7)",12;12;12;13;13;13;14,10;11;12;12;13;14;14,0;0;0;0;0;0;0
"(40, 19)",15;15;15;15;15;15;15;14;13;12;11;11;10;10;9;8;7;6;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2,4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;7;8;8;9;9;9;10;10;10;10,0;0;1;2;3;3;4;4;4;4;4;5;5;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;3;3;2;1;0
"(23, 50)",15;15;15;15;15;14;14;14;14;14;14;14;14;14;14;14;14;15;16,10;9;9;9;9;9;8;7;7;7;6;5;4;3;2;1;1;1;1,0;0;1;2;3;3;3;3;2;1;1;1;1;1;1;1;0;0;0
"(36, 15)",2;2;2;2;2;2;2;2;3;3;3;4;4;4,4;4;4;5;6;7;8;9;9;10;11;11;11;11,0;1;2;2;2;2;2;2;2;2;2;2;1;0
"(6, 32)",12;11;10;9;9;8;8;7;6;5;4;4;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1,14;14;14;14;14;14;14;14;14;14;14;15;15;16;16;16;16;16;16;15;14;13;12;11;10;9;8;7;7,0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0
"(49, 25)",13;13;14;14;14;14;14;14;14;14;13,1;2;2;3;4;5;6;7;8;9;9,0;0;0;0;0;0;0;0;0;0;0
"(13, 15)",8;8;7;6;5;4,12;11;11;11;11;11,0;0;0;0;0;0
"(9, 43)",6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;4,13;13;12;12;12;11;11;10;9;9;8;7;6;5;4;3;3;2;2;2,0;1;1;2;3;3;3;3;3;2;2;2;2;2;2;2;1;1;0;0
"(29, 44)",9;9;8;8;8;8;8;8;8;8;8;8;7;6,8;9;9;9;8;7;6;6;5;4;3;2;2;2,0;0;0;1;1;1;1;0;0;0;0;0;0;0
"(21, 41)",10;10;10;10;10;10;10;10;9;9;9,10;10;9;8;7;6;6;5;5;4;3,0;1;1;1;1;1;0;0;0;0;0
"(27, 25)",6;6;6;6;6;6;6;7;7;7;8;9;10;10;11;11;12;12;13,8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9,0;1;2;3;4;5;5;5;4;3;3;3;3;2;2;1;1;0;0
"(47, 36)",8;7;7;7;7;7;6;5;4;3;3;2,1;1;1;2;3;3;3;3;3;3;4;4,0;0;1;1;1;0;0;0;0;0;0;0
"(1, 13)",1;2;3;4;5;5;5;5;6;7;8,15;15;15;15;15;14;13;12;12;12;12,0;0;0;0;0;0;0;0;0;0;0
"(47, 13)",8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,1;1;2;3;4;5;5;6;7;8;9;10;10;11;12;12,0;1;1;1;1;1;2;2;2;2;2;2;1;1;1;0
"(36, 27)",2;2;2;2;2;3;4;5;6,4;5;6;7;8;8;8;8;8,0;0;0;0;0;0;0;0;0
"(22, 8)",12;12;12;12;12;12;12;11;10;10;9;8;7;6;6;5;5;5;4;3;2;2;2;2;1,10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13,0;1;1;2;3;4;4;4;4;5;5;5;5;5;4;4;3;3;3;3;3;2;1;0;0
