net,x,y,z
"(44, 16)",6;6;6;6;6;7;7;7;7;7;7;8;8;8;8;8;8;9;9;9;9;10;10;10;10;10,2;2;3;4;5;5;5;5;5;6;7;7;8;9;10;10;11;11;12;13;13;13;13;12;12;11,0;1;1;1;1;1;2;3;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1;1;0;0
"(1, 22)",1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;16;16;16;16;15;15;14;13;13;12,15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;14;13;12;12;11;11;11;10;10,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(36, 20)",2;1;1;1;1;2;2;2;3;4;5;5;5;5;6;7,4;4;5;6;6;6;7;8;8;8;8;9;10;10;10;10,0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
"(32, 12)",1;1;1;2;3;3;3;3;2,7;8;9;9;9;10;11;12;12,0;0;0;0;0;0;0;0;0
"(44, 31)",6;6;6;6;6;6;6;6;6;6;7;8;9;10;11;12;13;13;13;14;15;15;15;15;15;15,2;3;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;8,0;0;0;0;0;1;2;3;4;5;5;5;5;5;5;5;5;4;3;3;3;2;1;0;0;0
"(13, 2)",8;8;8;8;7;6,12;13;14;15;15;15,0;0;0;0;0;0
"(5, 31)",3;3;3;4;5;5;5;5;6;7;8;8;9;10;10;11;12;12;12;12;12;12;12;12;12;13;14;14;15;16;16;16;16;16;16;16;15,14;15;15;15;15;15;15;14;14;14;14;14;14;14;14;14;14;14;13;12;12;11;10;9;8;8;8;8;8;8;8;8;8;8;8;8;8,0;0;1;1;1;2;3;3;3;3;3;4;4;4;5;5;5;6;6;6;5;5;5;5;5;5;5;6;6;6;5;4;3;2;1;0;0
"(50, 14)",16;16;15;15;15;15;14;13;12;12;11;10;10;10;9;8;7;6;6;5;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1,1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;6;7;8;8;8;8;8;9;10;10;11,0;0;0;1;2;3;3;3;3;3;3;3;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;2;1;1;1;0;0
"(5, 30)",3;2;2;2;2;3;3;3;3;3;3;4;5;6;6;7;8;8;8;9;10;10;10;10;11;11;11,14;14;14;14;14;14;14;13;12;11;10;10;10;10;10;10;10;9;8;8;8;8;8;8;8;8;8,0;0;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;3;2;2;1;0
"(9, 29)",6;7;7;8;9;9;9;9;9;9;9,13;13;13;13;13;12;11;10;9;8;8,0;0;1;1;1;1;1;1;1;1;0
"(33, 30)",6;7;8;9;10;10;11,7;7;7;7;7;8;8,0;0;0;0;0;0;0
"(35, 46)",12;11;11;11;11;11;10;10;10;9;9;9;10;10;9;9;9;8;8;7;6;6;6;6;6;6;6,5;5;4;4;3;2;2;2;3;3;3;2;2;1;1;1;0;0;-1;-1;-1;0;0;1;1;1;1,0;0;0;1;1;1;1;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;3;3;2;1;0
"(15, 40)",4;3;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;5;6;7;8;9;10;11;12;13;14;15;16;16;16;16;16;16;16;16;15,11;11;11;11;11;11;11;11;11;11;11;10;9;8;7;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4,0;0;0;1;2;3;4;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;3;2;1;0;0;0
"(18, 26)",16;16;16,11;10;9,0;0;0
"(29, 28)",9;8;7,8;8;8,0;0;0
"(32, 26)",1;1;1;1;2;3;3;4;4;5;5;5;6;7;8;8;9;10;10;11;12;13;14;15;15;16;16;16;16;16;16;16,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9,0;1;2;3;3;3;4;4;5;5;6;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;5;4;3;2;1;0
"(38, 17)",7;7;7;7;7;7;8;8;9;10;11;12;12;12;11;11;11;11;11;11,4;5;6;6;6;6;6;7;7;7;7;7;8;9;9;10;10;10;10;11,0;0;0;1;2;3;3;3;3;3;3;3;3;3;3;3;2;1;0;0
"(3, 4)",10;11;12;13;14;15,15;15;15;15;15;15,0;0;0;0;0;0
"(4, 32)",15;15;14;13;12;11;11;11;11;11;10;10;9;9;9;8;7;6;5;5;5;5;5;5;5;5;4;3;3;3;3;3;3;2;1,15;15;15;15;15;15;14;13;13;13;13;13;13;12;11;11;11;11;11;11;10;9;9;8;7;6;6;6;6;6;6;6;7;7;7,0;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;3;2;1;0;0;0;0
"(5, 24)",3;3;3;3;3;3;3;4;4;5;6,14;13;13;12;11;10;9;9;9;9;9,0;0;1;1;1;1;1;1;0;0;0
"(6, 45)",12;12;12;11;11;11;11;10;9;8;7;6;5;4;4;4;4;4;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,14;14;14;14;15;16;16;16;16;16;16;16;16;16;15;14;14;13;13;13;12;12;12;11;10;9;8;7;6;6;6;6;5;5;4;3;2;2;1,0;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;4;3;2;2;1;1;1;1;0;0
"(34, 31)",9;9;9;9;10;11;12;12;13;14;14;15;15,6;6;7;7;7;7;7;8;8;8;8;8;8,0;1;1;2;2;2;2;2;2;2;1;1;0
"(37, 5)",4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3,4;5;6;7;7;7;8;8;8;9;10;11;12;12;13;14;14;14,0;0;0;0;1;2;2;2;3;3;3;3;3;2;2;2;1;0
"(30, 10)",11;11;10;9;9;9;9;9;10;11;12,8;9;9;9;10;11;12;13;13;13;13,0;0;0;0;0;0;0;0;0;0;0
"(47, 1)",8;8;8;7;6;5;5;5;4;3;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,1;0;0;0;0;0;0;1;1;1;2;2;3;3;3;4;5;6;6;7;8;9;10;11;12;13;14;15;15;15,0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
"(40, 16)",15;15;15;14;14;14;13;13;13;13;13;12;12;11;10;10;10;10;10;10;10;10;10,4;4;4;4;5;6;6;7;7;8;8;8;9;9;9;9;10;11;11;11;11;11;11,0;1;2;2;2;2;2;2;3;3;4;4;4;4;4;5;5;5;4;3;2;1;0
