net,x,y,z
"(18, 10)",9;9;8;8;8;7;7;7;6;5;4;3;2;1;1;1;1;1,4;3;3;3;3;3;4;5;5;5;5;5;5;5;6;6;6;7,0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;1;0;0
"(19, 21)",11;10;10;10;9;9;9;8;7;6;5;4;3;2;1;1;1;1,4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;2;1;0
"(19, 3)",11;11;10;10;10;10;10;10;10;10;10,4;4;4;5;6;7;8;9;10;11;11,0;1;1;1;1;1;1;1;1;1;0
"(13, 10)",16;15;14;14;14;14;14;13;13;12;11;10;9;8;7;6;5;4;3;2;1;1;1;0;0;0;0;1,7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7,0;0;0;0;1;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;1;0;0
"(2, 14)",6;6;7;8;8;8;8;8;8;8;9;10;11;12;13;13;13;13;13;13;13;13,11;12;12;12;11;10;10;10;9;9;9;9;9;9;9;8;8;7;6;5;5;5,0;0;0;0;0;0;1;2;2;3;3;3;3;3;3;3;2;2;2;2;1;0
"(20, 22)",15;14;14;13;12;12;11;11;10;10;10;9;8;7;6;5;4;3;2;2;2;2,4;4;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;2,0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0
"(21, 7)",1;0;0;0;0;0;1;2;3;4;5;6;7;8;8;9;10;11;12;13;14;14;14;14;15;16;16;16;16;16;16;16;16;15;14,3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;7;7;7;8;9;10;10;10;10;10;10;10,0;0;0;1;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;0;0;0
"(2, 16)",6;5;4;4;4;4;3;3;2;2;2;2;2;2,11;11;11;11;10;9;9;8;8;7;6;5;4;4,0;0;0;1;1;1;1;1;1;1;1;1;1;0
"(3, 17)",10;9;9;9;9;9;9;9;8;7;7;7;7;7;7;6,11;11;10;10;10;9;8;7;7;7;7;6;6;5;4;4,0;0;0;1;2;2;2;2;2;2;1;1;0;0;0;0
"(21, 17)",1;1;1;2;3;4;5;6;6,3;4;5;5;5;5;5;5;4,0;0;0;0;0;0;0;0;0
"(23, 12)",9;9;10;10;10;11;11;11,2;3;3;4;5;5;6;7,0;0;0;0;0;0;0;0
"(23, 19)",9;10;11;11;11,2;2;2;3;4,0;0;0;0;0
"(3, 4)",10;10;11;12;13;14;15;15,11;12;12;12;12;12;12;11,0;0;0;0;0;0;0;0
"(6, 13)",12;13;13;14;14;14;14;15;16;16,10;10;9;9;8;7;7;7;7;7,0;0;0;0;0;0;1;1;1;0
"(25, 16)",12;12;12;11;10;10;9;8;7;6;5;4;3;3;3;3;2;2;1;1;1;2,1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;3;3;4;4;4;4;4,0;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;0;0
"(25, 17)",12;11;10;9;8;7;6;6;6;6;6;6;6;6,1;1;1;1;1;1;1;2;2;2;3;4;4;4,0;0;0;0;0;0;0;0;1;2;2;2;1;0
