simulation,cost
1,388
2,365
3,364
4,62
5,76
6,361
7,66
8,68
9,68
10,362
11,368
12,369
13,60
14,64
15,66
16,70
17,72
18,74
19,76
20,78
21,80
22,82
23,86
24,88
25,90
26,359
27,362
28,363
29,365
30,366
31,367
32,368
33,369
34,370
35,371
36,372
37,373
38,375
39,378
40,379
41,380
42,663
43,664
44,669
45,671
46,980
